1,0.44,-0.26,-0.29,Alkyl
2,0.71,-0.33,-0.30,Alkyl-Ring
3,0.67,-0.02,-0.07,CH<sub>2</sub>O; - CH2Br
4,0.53,-0.15,-0.15,CH<sub>2</sub>S
5,0.72,0.12,0.07,CH<sub>2</sub>Cl; - CH2Br
6,0.66,-0.05,-0.23,CH<sub>2</sub>N
7,0.50,0.35,0.10,C = C
8,0.23,0.78,0.58,CN
9,0.98,-0.04,-0.21,C (rangkap 3) C
10,1.10,1.13,0.81,C = C
11,1.06,1.01,0.75,C = O; konj
12,1.00,1.35,0.74,COOH
13,0.69,0.97,0.39,COOH; konj
14,0.84,1.15,0.56,COOR
15,0.68,1.02,0.33,COOR; konj
16,1.03,0.97,1.21,CHO
17,1.10,1.41,0.99,COCl
18,1.18,-1.06,-1.28,OR; R:aliphat
19,1.14,-0.65,-1.05,OR; R:konj
20,2.09,-0.40,-0.67,OCOR
21,1.35,0.37,-0.10,Aromat
22,1.00,1.19,0.03,Cl
23,1.04,0.40,0.55,Br
24,0.69,-1.19,-1.31,NR<sub>2</sub>; R:aliphat
25,1.50,-0.73,-0.81,N-CO-R
26,1.00,-0.24,-0.04,SR
27,1.58,1.15,0.95,SO<sub>2</sub>
28,1.37,0.93,0.35,CONR<sub>2</sub>; R:aliphat